driver_id,timestamp,status
D101,2023-10-04 00:00:00,Online
D101,2023-10-04 00:33:00,Idle
D101,2023-10-04 02:11:00,Busy
D101,2023-10-04 02:46:00,Busy
D101,2023-10-04 04:35:00,Idle
D101,2023-10-04 05:58:00,Idle
D101,2023-10-04 06:57:00,Idle
D101,2023-10-04 07:24:00,Busy
D101,2023-10-04 07:48:00,Idle
D101,2023-10-04 08:14:00,Offline
D101,2023-10-05 07:14:00,Online
D101,2023-10-05 07:35:00,Idle
D101,2023-10-05 09:26:00,Busy
D101,2023-10-05 09:48:00,Busy
D101,2023-10-05 10:37:00,Idle
D101,2023-10-05 12:30:00,Idle
D101,2023-10-05 14:05:00,Busy
D101,2023-10-05 14:32:00,Idle
D101,2023-10-05 14:51:00,Offline
D101,2023-10-06 10:51:00,Online
D101,2023-10-06 12:15:00,Idle
D101,2023-10-06 13:21:00,Busy
D101,2023-10-06 13:52:00,Busy
D101,2023-10-06 14:36:00,Idle
D101,2023-10-06 15:37:00,Idle
D101,2023-10-06 16:24:00,Busy
D101,2023-10-06 17:20:00,Idle
D101,2023-10-06 18:16:00,Busy
D101,2023-10-06 19:34:00,Busy
D101,2023-10-06 20:58:00,Idle
D101,2023-10-06 21:22:00,Offline
D101,2023-10-07 17:22:00,Online
D101,2023-10-07 18:14:00,Idle
D101,2023-10-07 19:26:00,Idle
D101,2023-10-07 19:43:00,Busy
D101,2023-10-07 20:48:00,Busy
D101,2023-10-07 21:22:00,Busy
D101,2023-10-07 22:27:00,Busy
D101,2023-10-07 22:55:00,Offline
D101,2023-10-08 12:55:00,Online
D101,2023-10-08 13:58:00,Idle
D101,2023-10-08 15:47:00,Idle
D101,2023-10-08 17:33:00,Idle
D101,2023-10-08 18:18:00,Busy
D101,2023-10-08 19:53:00,Busy
D101,2023-10-08 21:01:00,Busy
D101,2023-10-08 22:50:00,Busy
D101,2023-10-08 23:07:00,Busy
D101,2023-10-08 23:27:00,Busy
D101,2023-10-09 00:32:00,Idle
D101,2023-10-09 01:14:00,Offline
D101,2023-10-09 23:14:00,Online
D101,2023-10-09 23:30:00,Busy
D101,2023-10-10 00:14:00,Busy
D101,2023-10-10 01:18:00,Busy
D101,2023-10-10 02:30:00,Busy
D101,2023-10-10 03:50:00,Idle
D101,2023-10-10 05:33:00,Busy
D101,2023-10-10 06:10:00,Offline
D101,2023-10-10 22:10:00,Online
D101,2023-10-11 00:03:00,Busy
D101,2023-10-11 01:46:00,Idle
D101,2023-10-11 02:56:00,Busy
D101,2023-10-11 04:22:00,Idle
D101,2023-10-11 05:04:00,Offline
D101,2023-10-11 21:04:00,Online
D101,2023-10-11 21:53:00,Busy
D101,2023-10-11 22:10:00,Busy
D101,2023-10-11 23:22:00,Idle
D101,2023-10-12 00:14:00,Idle
D101,2023-10-12 01:53:00,Busy
D101,2023-10-12 02:17:00,Offline
D101,2023-10-13 02:17:00,Online
D101,2023-10-13 03:38:00,Busy
D101,2023-10-13 04:57:00,Busy
D101,2023-10-13 06:27:00,Busy
D101,2023-10-13 08:05:00,Busy
D101,2023-10-13 08:58:00,Idle
D101,2023-10-13 09:39:00,Offline
D101,2023-10-14 06:39:00,Online
D101,2023-10-14 08:29:00,Idle
D101,2023-10-14 10:07:00,Busy
D101,2023-10-14 10:44:00,Busy
D101,2023-10-14 11:47:00,Idle
D101,2023-10-14 12:09:00,Idle
D101,2023-10-14 12:31:00,Busy
D101,2023-10-14 13:28:00,Idle
D101,2023-10-14 14:54:00,Busy
D101,2023-10-14 16:20:00,Busy
D101,2023-10-14 16:56:00,Offline
D102,2023-10-05 00:00:00,Online
D102,2023-10-05 01:33:00,Busy
D102,2023-10-05 03:03:00,Busy
D102,2023-10-05 03:33:00,Busy
D102,2023-10-05 04:45:00,Idle
D102,2023-10-05 06:43:00,Busy
D102,2023-10-05 08:12:00,Busy
D102,2023-10-05 10:09:00,Busy
D102,2023-10-05 10:38:00,Offline
D102,2023-10-06 04:38:00,Online
D102,2023-10-06 05:36:00,Idle
D102,2023-10-06 06:37:00,Busy
D102,2023-10-06 06:54:00,Idle
D102,2023-10-06 08:23:00,Busy
D102,2023-10-06 09:13:00,Idle
D102,2023-10-06 09:39:00,Idle
D102,2023-10-06 11:34:00,Idle
D102,2023-10-06 11:56:00,Busy
D102,2023-10-06 12:50:00,Offline
D102,2023-10-07 10:50:00,Online
D102,2023-10-07 11:17:00,Idle
D102,2023-10-07 13:01:00,Idle
D102,2023-10-07 14:36:00,Idle
D102,2023-10-07 15:02:00,Idle
D102,2023-10-07 15:55:00,Idle
D102,2023-10-07 16:12:00,Busy
D102,2023-10-07 17:18:00,Busy
D102,2023-10-07 18:55:00,Idle
D102,2023-10-07 19:07:00,Offline
D102,2023-10-08 15:07:00,Online
D102,2023-10-08 16:59:00,Idle
D102,2023-10-08 18:48:00,Busy
D102,2023-10-08 19:24:00,Busy
D102,2023-10-08 19:46:00,Offline
D102,2023-10-09 09:46:00,Online
D102,2023-10-09 11:46:00,Busy
D102,2023-10-09 13:10:00,Busy
D102,2023-10-09 14:39:00,Idle
D102,2023-10-09 16:21:00,Idle
D102,2023-10-09 17:07:00,Busy
D102,2023-10-09 19:04:00,Busy
D102,2023-10-09 20:14:00,Busy
D102,2023-10-09 21:12:00,Idle
D102,2023-10-09 22:56:00,Busy
D102,2023-10-09 23:34:00,Idle
D102,2023-10-10 00:01:00,Offline
D102,2023-10-10 14:01:00,Online
D102,2023-10-10 14:18:00,Idle
D102,2023-10-10 15:32:00,Idle
D102,2023-10-10 16:58:00,Busy
D102,2023-10-10 17:27:00,Idle
D102,2023-10-10 18:39:00,Idle
D102,2023-10-10 18:55:00,Busy
D102,2023-10-10 20:10:00,Idle
D102,2023-10-10 22:00:00,Busy
D102,2023-10-10 23:27:00,Busy
D102,2023-10-10 23:50:00,Offline
D102,2023-10-11 13:50:00,Online
D102,2023-10-11 15:31:00,Busy
D102,2023-10-11 16:03:00,Busy
D102,2023-10-11 17:12:00,Busy
D102,2023-10-11 17:46:00,Idle
D102,2023-10-11 19:09:00,Idle
D102,2023-10-11 19:40:00,Idle
D102,2023-10-11 21:04:00,Busy
D102,2023-10-11 23:02:00,Busy
D102,2023-10-11 23:19:00,Idle
D102,2023-10-11 23:57:00,Busy
D102,2023-10-12 00:32:00,Offline
D102,2023-10-12 19:32:00,Online
D102,2023-10-12 21:05:00,Busy
D102,2023-10-12 21:57:00,Idle
D102,2023-10-12 22:26:00,Idle
D102,2023-10-12 23:26:00,Offline
D102,2023-10-13 14:26:00,Online
D102,2023-10-13 16:22:00,Idle
D102,2023-10-13 17:41:00,Busy
D102,2023-10-13 19:05:00,Busy
D102,2023-10-13 20:15:00,Busy
D102,2023-10-13 20:47:00,Busy
D102,2023-10-13 21:11:00,Idle
D102,2023-10-13 22:40:00,Idle
D102,2023-10-14 00:06:00,Idle
D102,2023-10-14 01:34:00,Idle
D102,2023-10-14 02:19:00,Offline
D103,2023-10-03 00:00:00,Online
D103,2023-10-03 00:47:00,Busy
D103,2023-10-03 01:05:00,Idle
D103,2023-10-03 01:25:00,Idle
D103,2023-10-03 02:21:00,Idle
D103,2023-10-03 03:10:00,Idle
D103,2023-10-03 04:37:00,Busy
D103,2023-10-03 05:15:00,Busy
D103,2023-10-03 05:59:00,Busy
D103,2023-10-03 06:40:00,Busy
D103,2023-10-03 07:22:00,Offline
D103,2023-10-04 03:22:00,Online
D103,2023-10-04 05:04:00,Idle
D103,2023-10-04 06:28:00,Busy
D103,2023-10-04 06:51:00,Busy
D103,2023-10-04 07:24:00,Idle
D103,2023-10-04 08:24:00,Busy
D103,2023-10-04 09:13:00,Busy
D103,2023-10-04 10:26:00,Idle
D103,2023-10-04 12:25:00,Busy
D103,2023-10-04 13:08:00,Idle
D103,2023-10-04 13:53:00,Offline
D103,2023-10-05 03:53:00,Online
D103,2023-10-05 05:31:00,Idle
D103,2023-10-05 05:57:00,Busy
D103,2023-10-05 07:30:00,Busy
D103,2023-10-05 08:37:00,Busy
D103,2023-10-05 10:34:00,Busy
D103,2023-10-05 11:04:00,Offline
D103,2023-10-06 07:04:00,Online
D103,2023-10-06 08:40:00,Busy
D103,2023-10-06 09:07:00,Idle
D103,2023-10-06 11:05:00,Idle
D103,2023-10-06 11:32:00,Busy
D103,2023-10-06 12:05:00,Idle
D103,2023-10-06 14:03:00,Busy
D103,2023-10-06 14:38:00,Idle
D103,2023-10-06 15:34:00,Busy
D103,2023-10-06 16:36:00,Idle
D103,2023-10-06 17:26:00,Offline
D103,2023-10-07 13:26:00,Online
D103,2023-10-07 15:05:00,Busy
D103,2023-10-07 15:36:00,Busy
D103,2023-10-07 16:51:00,Busy
D103,2023-10-07 18:09:00,Busy
D103,2023-10-07 18:27:00,Busy
D103,2023-10-07 19:48:00,Idle
D103,2023-10-07 21:06:00,Idle
D103,2023-10-07 21:32:00,Offline
D103,2023-10-08 21:32:00,Online
D103,2023-10-08 22:33:00,Idle
D103,2023-10-08 23:08:00,Busy
D103,2023-10-08 23:25:00,Busy
D103,2023-10-08 23:57:00,Idle
D103,2023-10-09 01:44:00,Idle
D103,2023-10-09 02:43:00,Busy
D103,2023-10-09 03:28:00,Offline
D103,2023-10-09 19:28:00,Online
D103,2023-10-09 20:34:00,Busy
D103,2023-10-09 22:25:00,Busy
D103,2023-10-09 23:47:00,Idle
D103,2023-10-10 00:10:00,Offline
D103,2023-10-10 14:10:00,Online
D103,2023-10-10 15:57:00,Busy
D103,2023-10-10 17:01:00,Busy
D103,2023-10-10 17:16:00,Busy
D103,2023-10-10 18:06:00,Busy
D103,2023-10-10 18:23:00,Idle
D103,2023-10-10 20:22:00,Busy
D103,2023-10-10 21:55:00,Busy
D103,2023-10-10 22:23:00,Offline
D103,2023-10-11 10:23:00,Online
D103,2023-10-11 12:03:00,Busy
D103,2023-10-11 14:02:00,Idle
D103,2023-10-11 15:47:00,Busy
D103,2023-10-11 17:44:00,Idle
D103,2023-10-11 18:21:00,Busy
D103,2023-10-11 19:34:00,Idle
D103,2023-10-11 20:48:00,Idle
D103,2023-10-11 22:09:00,Idle
D103,2023-10-11 22:33:00,Busy
D103,2023-10-11 22:55:00,Idle
D103,2023-10-11 23:29:00,Offline
D104,2023-10-03 00:00:00,Online
D104,2023-10-03 00:42:00,Busy
D104,2023-10-03 02:42:00,Busy
D104,2023-10-03 04:03:00,Idle
D104,2023-10-03 04:41:00,Busy
D104,2023-10-03 05:20:00,Idle
D104,2023-10-03 05:44:00,Idle
D104,2023-10-03 06:31:00,Idle
D104,2023-10-03 07:56:00,Idle
D104,2023-10-03 08:35:00,Idle
D104,2023-10-03 09:35:00,Offline
D104,2023-10-03 21:35:00,Online
